TF,Sources
Aatf,RegNetwork|TRRUST
Abl1,RegNetwork|TRRUST
Abt1,RegNetwork
Abtb1,RegNetwork
Adnp,RegNetwork
Aebp1,RegNetwork
Aebp2,RegNetwork|TRRUST
Aes,RegNetwork|TRRUST|ESCAPE
Aff4,RegNetwork
Agap3,RegNetwork
Ahctf1,RegNetwork
Ahr,RegNetwork|TRRUST
Aip,RegNetwork
Aire,RegNetwork|TRRUST
Akt1,RegNetwork
Alx1,RegNetwork
Alx3,RegNetwork
Alx4,RegNetwork|TRRUST
Alyref,RegNetwork
Ankra2,RegNetwork
Ankrd1,RegNetwork|TRRUST
Ankrd22,RegNetwork
Ankrd32,RegNetwork
Ankrd33,RegNetwork
Ankrd49,RegNetwork
Ankrd54,RegNetwork
Ankrd6,RegNetwork
Ankrd7,RegNetwork
Anks1,RegNetwork
Anks3,RegNetwork
Apbb1,RegNetwork|TRRUST
Apbb2,RegNetwork
Apc,RegNetwork|TRRUST
Apex1,RegNetwork|TRRUST
Ar,RegNetwork|TRRUST
Arid1a,RegNetwork
Arid1b,RegNetwork
Arid3a,RegNetwork|TRRUST
Arid3b,RegNetwork|TRRUST
Arid4b,RegNetwork
Arid5b,RegNetwork|TRRUST
Arl6ip5,TRRUST
Arnt,RegNetwork|TRRUST
Arnt2,RegNetwork
Arntl,RegNetwork|TRRUST
Arntl2,TRRUST
Arx,TRRUST
Asb1,RegNetwork
Asb12,RegNetwork
Asb15,RegNetwork
Asb3,RegNetwork
Asb4,RegNetwork
Asb6,RegNetwork
Asb9,RegNetwork
Ascl1,RegNetwork|TRRUST|ESCAPE
Ascl2,RegNetwork|ESCAPE
Ascl3,RegNetwork
Ash1l,RegNetwork|TRRUST
Ash2l,RegNetwork
Asxl1,RegNetwork|TRRUST
Atf1,RegNetwork|TRRUST
Atf2,RegNetwork|TRRUST
Atf3,RegNetwork|TRRUST
Atf4,RegNetwork|TRRUST
Atf5,RegNetwork
Atf6,RegNetwork|TRRUST
Atf6b,RegNetwork
Atf7,RegNetwork
Atf7ip,RegNetwork
Atm,RegNetwork|TRRUST
Atoh1,RegNetwork|TRRUST
Aw146020,RegNetwork
Bach1,RegNetwork|TRRUST
Bach2,RegNetwork|TRRUST
Bard1,RegNetwork
Barhl1,RegNetwork
Barx1,RegNetwork
Barx2,RegNetwork|TRRUST
Batf,RegNetwork
Batf2,TRRUST
Batf3,RegNetwork|TRRUST
Baz1a,RegNetwork
Baz1b,RegNetwork
Bbc3,RegNetwork
Bcl11a,RegNetwork|TRRUST
Bcl11b,RegNetwork|TRRUST
Bcl3,RegNetwork|TRRUST
Bcl6,RegNetwork|TRRUST
Bcl6b,RegNetwork|TRRUST
Bclaf1,RegNetwork
Bcor,RegNetwork
Bdp1,RegNetwork
Bhlha15,RegNetwork
Bhlhe40,RegNetwork|TRRUST
Bhlhe41,RegNetwork
Bin1,RegNetwork
Blzf1,RegNetwork
Bmi1,RegNetwork|TRRUST
Bmp4,TRRUST
Bmp6,TRRUST
Brca1,RegNetwork|TRRUST
Brca2,RegNetwork|TRRUST
Brd7,RegNetwork
Brdt,RegNetwork
Brf1,RegNetwork
Brip1,RegNetwork
Brpf1,RegNetwork
Brpf3,RegNetwork
Brwd1,RegNetwork
Btaf1,RegNetwork
Btbd11,RegNetwork
Btf3,RegNetwork
Btg1,RegNetwork
Btg2,RegNetwork|TRRUST
Bub3,TRRUST
C80913,RegNetwork
Calcoco1,RegNetwork
Carf,RegNetwork
Cbfa2t3,RegNetwork|TRRUST
Cbfb,RegNetwork
Cbx3,RegNetwork
Cbx4,RegNetwork
Cbx6,RegNetwork|TRRUST
Cbx7,RegNetwork
Cbx8,RegNetwork|ESCAPE
Ccnd1,TRRUST
Ccrn4l,RegNetwork
Cd7,TRRUST
Cdc5l,RegNetwork
Cdx1,RegNetwork|TRRUST
Cdx2,RegNetwork|TRRUST|ESCAPE
Cdx4,RegNetwork|TRRUST
Cebpa,RegNetwork|TRRUST
Cebpb,RegNetwork|TRRUST
Cebpd,RegNetwork
Cebpe,RegNetwork|TRRUST
Cebpg,RegNetwork|TRRUST
Cebpz,RegNetwork|TRRUST
Celf3,RegNetwork
Cenpb,RegNetwork
Cenpk,RegNetwork
Chaf1a,RegNetwork
Chd1,RegNetwork|TRRUST|ESCAPE
Chd4,RegNetwork|TRRUST
Chd5,RegNetwork
Chd7,RegNetwork|TRRUST|ESCAPE
Chd8,RegNetwork|TRRUST
Cic,RegNetwork
Ciita,RegNetwork|TRRUST
Cited1,RegNetwork
Cited2,RegNetwork|TRRUST
Cited4,RegNetwork
Clasrp,RegNetwork
Clock,RegNetwork|TRRUST
Cnot2,RegNetwork
Cnot3,RegNetwork|TRRUST|ESCAPE
Cnot6,RegNetwork
Cnot6l,RegNetwork
Cnot7,RegNetwork|TRRUST
Cnot8,RegNetwork
Cobra1,RegNetwork
Coil,RegNetwork
Comp,RegNetwork
Cops2,RegNetwork
Cops5,RegNetwork|TRRUST
Crabp2,RegNetwork
Cramp1l,RegNetwork
Creb1,RegNetwork|TRRUST
Creb3,RegNetwork|TRRUST
Creb3l1,RegNetwork|TRRUST
Creb3l2,RegNetwork
Creb3l3,RegNetwork|TRRUST
Creb3l4,RegNetwork|TRRUST
Creb5,RegNetwork
Crebbp,RegNetwork|TRRUST
Crebl2,RegNetwork
Crebzf,RegNetwork|TRRUST
Crem,RegNetwork|TRRUST
Crtc1,RegNetwork|TRRUST
Crx,RegNetwork|TRRUST
Cry1,RegNetwork|TRRUST
Csda,RegNetwork
Csdc2,RegNetwork
Csde1,RegNetwork
Csf1,TRRUST
Csf2,TRRUST
Csrp3,RegNetwork
Ctbp1,RegNetwork
Ctcf,RegNetwork|TRRUST|ESCAPE
Ctcfl,RegNetwork|TRRUST
Ctdp1,RegNetwork
Ctf1,TRRUST
Ctnnb1,RegNetwork|TRRUST
Ctnnbip1,RegNetwork
Ctnnbl1,RegNetwork
Ctr9,RegNetwork|TRRUST
Cux1,RegNetwork|TRRUST
Cux2,RegNetwork|TRRUST
Cxxc1,RegNetwork
Dab2,RegNetwork|TRRUST
Dach1,RegNetwork|TRRUST
Dach2,RegNetwork|TRRUST
Daxx,RegNetwork|TRRUST
Dazap2,RegNetwork
Dbp,RegNetwork|TRRUST
Dcp1a,RegNetwork
Ddb1,RegNetwork
Ddb2,RegNetwork
Ddit3,RegNetwork|TRRUST
Ddx20,RegNetwork
Ddx5,RegNetwork|TRRUST
Ddx54,RegNetwork|TRRUST
Ddx58,TRRUST
Deaf1,RegNetwork|TRRUST
Dedd,RegNetwork
Dek,RegNetwork
Dennd4a,RegNetwork
Dhx38,RegNetwork
Dido1,RegNetwork
Dlx1,RegNetwork|TRRUST
Dlx2,RegNetwork|TRRUST
Dlx3,TRRUST
Dlx4,RegNetwork
Dlx5,RegNetwork|TRRUST
Dmap1,RegNetwork|TRRUST|ESCAPE
Dmbx1,RegNetwork|TRRUST
Dmp1,TRRUST
Dmrt1,RegNetwork|TRRUST
Dmrt2,RegNetwork|TRRUST
Dmrtc2,RegNetwork
Dmtf1,TRRUST
Dnajc2,RegNetwork|TRRUST
Dnmt1,RegNetwork|TRRUST
Dnmt3a,RegNetwork|TRRUST
Dnmt3b,TRRUST
Dnmt3l,RegNetwork
Dot1l,RegNetwork|TRRUST
Dpf2,RegNetwork
Dppa5a,ESCAPE
Dr1,RegNetwork
Dtx1,RegNetwork|TRRUST
E2f1,RegNetwork|TRRUST|ESCAPE
E2f2,RegNetwork|TRRUST
E2f3,RegNetwork|TRRUST
E2f4,RegNetwork|TRRUST|ESCAPE
E2f5,RegNetwork|TRRUST
E2f6,RegNetwork
E2f8,RegNetwork|TRRUST
E4f1,RegNetwork|TRRUST
Ebf1,RegNetwork|TRRUST
Ebf3,RegNetwork
Ebf4,RegNetwork
Ecd,RegNetwork
Edf1,RegNetwork
Edn1,TRRUST
Eed,RegNetwork|ESCAPE
Egr1,RegNetwork|TRRUST
Egr2,RegNetwork|TRRUST
Egr3,RegNetwork|TRRUST
Egr4,TRRUST
Ehf,RegNetwork|TRRUST
Ehmt1,RegNetwork|TRRUST
Ehmt2,RegNetwork|TRRUST
Eif2ak2,RegNetwork|TRRUST
Eif5b,RegNetwork
Elavl2,RegNetwork
Elf1,RegNetwork|TRRUST|ESCAPE
Elf2,TRRUST
Elf3,RegNetwork|TRRUST
Elf4,RegNetwork|TRRUST
Elf5,RegNetwork|TRRUST
Elk1,RegNetwork|TRRUST
Elk3,RegNetwork|TRRUST
Elk4,RegNetwork
Ell,RegNetwork
Ell2,RegNetwork
Ell3,TRRUST
Elp2,TRRUST
Elp3,TRRUST
Emx1,RegNetwork
Emx2,RegNetwork|TRRUST
En1,RegNetwork|TRRUST
En2,TRRUST
Eomes,RegNetwork|TRRUST|ESCAPE
Ep300,RegNetwork|TRRUST
Ep400,RegNetwork
Epas1,RegNetwork|TRRUST
Epc1,RegNetwork|TRRUST
Epo,TRRUST
Epor,TRRUST
Ercc2,RegNetwork
Ercc3,RegNetwork
Ercc6,RegNetwork
Ercc8,RegNetwork
Erf,TRRUST
Erg,RegNetwork|TRRUST
Espl1,RegNetwork
Esr1,RegNetwork|TRRUST
Esr2,RegNetwork|TRRUST
Esrra,RegNetwork|TRRUST
Esrrb,RegNetwork|TRRUST|ESCAPE
Esrrg,RegNetwork|TRRUST
Esx1,ESCAPE
Ets1,RegNetwork|TRRUST
Ets2,RegNetwork|TRRUST
Etv1,RegNetwork|TRRUST
Etv2,TRRUST
Etv3,ESCAPE
Etv4,RegNetwork|TRRUST
Etv5,TRRUST
Etv6,RegNetwork|TRRUST
Ewsr1,RegNetwork|TRRUST
Eya1,TRRUST
Eya2,RegNetwork|TRRUST
Eya3,RegNetwork
Eya4,RegNetwork
Ezh1,RegNetwork|TRRUST
Ezh2,RegNetwork|TRRUST|ESCAPE
Faim3,RegNetwork
Fem1b,ESCAPE
Fhl2,RegNetwork|TRRUST
Fhl5,RegNetwork
Fiz1,RegNetwork
Fli1,RegNetwork|TRRUST
Fmr1,RegNetwork|TRRUST
Fos,RegNetwork|TRRUST
Fosb,RegNetwork|TRRUST
Fosl1,RegNetwork|TRRUST
Fosl2,RegNetwork|TRRUST
Foxa1,RegNetwork|TRRUST
Foxa2,RegNetwork|TRRUST
Foxa3,RegNetwork|TRRUST
Foxb1,RegNetwork
Foxc1,RegNetwork|TRRUST
Foxc2,RegNetwork|TRRUST
Foxd1,TRRUST
Foxd3,RegNetwork|TRRUST
Foxe3,RegNetwork
Foxg1,RegNetwork|TRRUST
Foxh1,RegNetwork|TRRUST
Foxi1,RegNetwork|TRRUST
Foxj1,RegNetwork|TRRUST
Foxj2,RegNetwork|ESCAPE
Foxj3,TRRUST
Foxl1,TRRUST
Foxl2,RegNetwork|TRRUST
Foxm1,RegNetwork|TRRUST
Foxn1,TRRUST
Foxn2,RegNetwork
Foxn4,RegNetwork|TRRUST
Foxo1,RegNetwork|TRRUST
Foxo3,RegNetwork|TRRUST
Foxo4,RegNetwork|TRRUST
Foxp1,RegNetwork|TRRUST
Foxp2,TRRUST
Foxp3,RegNetwork|TRRUST
Foxp4,RegNetwork
Foxq1,RegNetwork|TRRUST
Fubp3,RegNetwork
Fus,RegNetwork|TRRUST
Fxr1,RegNetwork
Fxr2,RegNetwork
Gabpa,RegNetwork|TRRUST
Gabpb1,TRRUST
Gata1,RegNetwork|TRRUST
Gata2,RegNetwork|TRRUST
Gata3,RegNetwork|TRRUST|ESCAPE
Gata4,RegNetwork|TRRUST
Gata5,RegNetwork
Gata6,RegNetwork|TRRUST
Gatad2a,RegNetwork
Gatad2b,RegNetwork
Gbx2,TRRUST
Gcfc1,RegNetwork
Gcfc2,TRRUST
Gcgr,TRRUST
Gcm2,RegNetwork|TRRUST
Gcn5,ESCAPE
Gfi1,RegNetwork|TRRUST
Gfi1b,RegNetwork|TRRUST
Gli1,RegNetwork|TRRUST|ESCAPE
Gli2,RegNetwork|TRRUST
Gli3,RegNetwork|TRRUST
Glis2,RegNetwork|TRRUST
Glis3,TRRUST
Gm5506,RegNetwork
Gmeb1,RegNetwork
Gmeb2,RegNetwork
Gnrh1,RegNetwork|TRRUST
Gon4l,RegNetwork
Grhl1,RegNetwork
Grin1,TRRUST
Grlf1,RegNetwork
Gsc,RegNetwork|TRRUST
Gsc2,RegNetwork
Gsx1,RegNetwork
Gsx2,RegNetwork|TRRUST
Gtf2a1,RegNetwork|TRRUST
Gtf2a1l,RegNetwork
Gtf2a2,TRRUST
Gtf2b,RegNetwork|TRRUST
Gtf2e1,RegNetwork
Gtf2e2,RegNetwork
Gtf2f1,RegNetwork
Gtf2f2,RegNetwork
Gtf2h1,RegNetwork|TRRUST
Gtf2h2,RegNetwork
Gtf2h3,RegNetwork
Gtf2h4,RegNetwork
Gtf2i,RegNetwork|TRRUST
Gtf2ird1,TRRUST
Gtf3c1,RegNetwork
Gtf3c2,RegNetwork
Gtf3c3,RegNetwork
Gtf3c4,RegNetwork
Gtf3c5,RegNetwork
Gzf1,RegNetwork|TRRUST
H1f0,RegNetwork
Habp4,RegNetwork
Hand1,RegNetwork
Hand2,RegNetwork|TRRUST
Havcr2,RegNetwork|TRRUST
Hax1,RegNetwork
Hbp1,TRRUST
Hcfc1,RegNetwork|TRRUST
Hcls1,RegNetwork|TRRUST
Hdac1,RegNetwork|TRRUST
Hdac10,RegNetwork
Hdac11,RegNetwork|TRRUST
Hdac2,RegNetwork|TRRUST
Hdac3,RegNetwork|TRRUST
Hdac4,RegNetwork|TRRUST
Hdac5,RegNetwork
Hdac7,RegNetwork
Hdac8,RegNetwork
Hdac9,RegNetwork
Hdgf,RegNetwork|TRRUST
Hdgfrp2,RegNetwork
Helz,RegNetwork
Hes1,RegNetwork|TRRUST
Hes6,RegNetwork|TRRUST
Hes7,TRRUST
Hesx1,RegNetwork|TRRUST
Hexim1,RegNetwork|TRRUST
Hey1,RegNetwork|TRRUST
Hey2,RegNetwork|TRRUST
Heyl,RegNetwork|TRRUST
Hgf,TRRUST
Hhex,RegNetwork|TRRUST
Hic1,RegNetwork|TRRUST
Hif1a,RegNetwork|TRRUST
Hif1an,RegNetwork
Hif3a,RegNetwork
Hira,RegNetwork
Hist1h1b,RegNetwork
Hist1h1c,RegNetwork
Hist1h1d,RegNetwork
Hist1h1e,RegNetwork
Hist1h1t,RegNetwork
Hist1h2bb,RegNetwork
Hist1h2bh,RegNetwork
Hist1h2bp,RegNetwork
Hist3h2ba,RegNetwork
Hivep2,RegNetwork|TRRUST
Hlf,RegNetwork|TRRUST
Hltf,RegNetwork|TRRUST
Hlx,TRRUST
Hmg20a,RegNetwork
Hmg20b,RegNetwork
Hmga1,RegNetwork|TRRUST
Hmga2,RegNetwork|TRRUST
Hmgb2,RegNetwork|TRRUST
Hmgb4,RegNetwork
Hmgn3,TRRUST
Hmgxb3,RegNetwork
Hmgxb4,RegNetwork
Hmx3,RegNetwork
Hnf1a,RegNetwork|TRRUST
Hnf1b,RegNetwork|TRRUST
Hnf4a,RegNetwork|TRRUST
Hnf4g,RegNetwork
Hnrnpab,RegNetwork
Hnrnpd,RegNetwork|TRRUST
Hnrnpk,RegNetwork|TRRUST
Hnrnpul1,RegNetwork
Hopx,RegNetwork
Hoxa1,RegNetwork|TRRUST
Hoxa10,RegNetwork|TRRUST
Hoxa11,RegNetwork|TRRUST
Hoxa13,RegNetwork
Hoxa2,RegNetwork|TRRUST
Hoxa3,RegNetwork|TRRUST
Hoxa4,RegNetwork|TRRUST
Hoxa5,RegNetwork|TRRUST
Hoxa6,RegNetwork
Hoxa7,RegNetwork
Hoxa9,RegNetwork|TRRUST
Hoxb1,RegNetwork|TRRUST
Hoxb13,RegNetwork
Hoxb2,RegNetwork|TRRUST
Hoxb3,RegNetwork|TRRUST
Hoxb4,RegNetwork|TRRUST
Hoxb5,RegNetwork|TRRUST
Hoxb6,RegNetwork
Hoxb7,RegNetwork
Hoxb8,RegNetwork|TRRUST
Hoxb9,RegNetwork
